,City,Country,Latitude,Longitude,Temperatures,Humidity,Cloudiness,Windiness
157,Thompson,CA,55.7435,-97.8558,-27.4,68,75,13.8
158,Teeli,RU,51.0333,90.2333,5.88,91,89,0.54
159,Hasaki,JP,35.7333,140.8333,48.99,39,20,8.05
160,Faanui,PF,-16.4833,-151.75,81.37,77,0,13.56
161,Sligo,IE,54.2697,-8.4694,34.0,79,37,7.0
162,Yuanping,CN,38.7153,112.7575,36.66,53,100,0.38
163,La Ronge,CA,55.1001,-105.2842,-32.8,61,0,3.44
164,Chokurdakh,RU,70.6333,147.9167,-11.92,89,96,6.8
165,Vestmannaeyjar,IS,63.4427,-20.2734,39.34,73,97,22.95
166,Arrondissement de Moulins,FR,46.5,3.3333,37.4,81,90,6.91
167,Svetlaya,RU,46.5389,138.3297,13.71,83,79,14.36
168,Arraial do Cabo,BR,-22.9661,-42.0278,74.26,80,100,1.12
169,Baoqing,CN,46.3317,132.2111,7.56,86,0,18.25
170,Lohārdagā,IN,23.4333,84.6833,60.8,48,0,6.53
171,Severo-Kuril'sk,RU,50.6789,156.125,25.66,94,90,21.34
172,West Wendover,US,40.7391,-114.0733,42.8,17,1,12.66
173,Hobyo,SO,5.3505,48.5268,77.45,79,9,17.54
174,Rājaldesar,IN,28.0333,74.4667,67.98,25,0,5.28
175,Mayumba,GA,-3.432,10.6554,79.07,86,100,2.77
176,Clyde River,CA,70.4692,-68.5914,-0.4,85,1,8.05
177,São Filipe,CV,14.8961,-24.4956,68.85,76,100,13.29
178,Örnsköldsvik,SE,63.2909,18.7153,19.4,93,90,4.61
179,Port Lincoln,AU,-34.7333,135.8667,67.8,64,29,16.11
180,Umluj,SA,25.0213,37.2685,68.63,40,0,26.98
181,Nikolskoye,RU,59.7035,30.7861,10.99,85,75,6.71
182,Lata,PT,40.1629,-8.3327,53.01,93,56,3.0
183,Omboué,GA,-1.5746,9.2618,77.97,87,100,4.47
184,Tarabuco,BO,-19.1667,-64.9167,48.69,94,100,4.41
185,Brønnøysund,NO,65.4625,12.1997,21.2,93,0,3.44
186,Shingū,JP,33.7333,135.9833,55.4,41,40,19.57
187,Tornio,FI,65.8481,24.1466,-7.6,77,0,2.3
188,Chadiza,ZM,-14.0678,32.4392,65.01,95,100,2.93
189,Broken Hill,AU,-31.95,141.4333,80.6,22,0,9.22
190,Hurghada,EG,27.2574,33.8129,57.2,62,0,2.8
191,Yaan,NG,7.3833,8.5667,70.79,75,93,5.19
192,Akure,NG,7.2526,5.1931,71.71,99,100,1.23
193,Inhambane,MZ,-23.865,35.3833,78.8,94,40,7.9
194,Catabola,AO,-12.15,17.2833,61.74,98,100,3.91
195,Bethel,US,41.3712,-73.414,26.6,63,90,10.36
196,Rakek,SI,45.8133,14.3111,46.0,100,41,11.99
197,Narsaq,GL,60.9167,-46.05,39.2,28,40,40.29
198,Mukhen,RU,48.1,136.1,-1.23,88,100,10.02
199,Hirara,JP,24.8,125.2833,73.4,60,40,16.11
200,Upernavik,GL,72.7868,-56.1549,17.55,79,39,5.03
201,Grande Prairie,CA,55.1667,-118.8027,-36.4,74,20,4.61
202,Navrongo,GH,10.8956,-1.0921,75.18,22,0,7.61
203,Gamba,GA,-2.65,10.0,77.38,86,100,2.26
204,Tselina,RU,46.5338,41.0328,21.43,95,100,8.03
205,Chipinge,ZW,-20.1883,32.6236,62.67,96,93,1.63
206,Swan Hill,AU,-35.3378,143.5544,81.07,26,28,10.69
207,Aklavik,CA,68.2191,-135.0107,-27.4,68,100,10.36
208,Antalaha,MG,-14.9003,50.2788,77.95,81,88,3.47
209,Guerrero Negro,MX,27.9769,-114.0611,60.22,78,0,9.84
210,Surgāna,IN,20.5667,73.6167,75.15,20,0,6.33
211,Pandan,PH,14.0453,124.1694,79.68,83,100,17.27
212,Hambantota,LK,6.1241,81.1185,86.0,74,0,14.97
213,Guiglo,CI,6.5456,-7.4966,74.68,91,79,4.83
214,Tabory,RU,58.5198,64.5495,-3.28,91,100,8.46
215,Provideniya,RU,64.3833,-173.3,-1.14,85,100,20.83
216,Macomb,US,40.4592,-90.6718,3.0,85,90,8.05
217,Kandiaro,PK,27.0601,68.2091,70.68,21,0,1.3
218,Jardim,BR,-21.4803,-56.1381,65.17,77,0,2.1
219,Gumia,IN,23.7833,85.8167,70.07,30,0,5.53
220,Ferrol,ES,43.4832,-8.2369,50.0,93,0,5.75
221,Sabha,LY,27.0377,14.4283,60.22,33,100,11.83
222,Hualmay,PE,-11.0964,-77.6139,71.33,78,100,7.23
223,Aksu,CN,41.1231,80.2644,38.55,60,15,2.06
224,Alofi,NU,-19.0595,-169.9187,84.2,79,75,8.05
225,Prescott Valley,US,34.5894,-112.3252,44.6,33,1,4.61
226,Dicabisagan,PH,17.0818,122.4157,81.3,68,4,6.22
227,Mossamedes,AO,-15.1961,12.1522,72.12,80,83,5.14
228,Cowra,AU,-33.8333,148.6833,75.0,57,21,1.01
229,Ténenkou,ML,14.4572,-4.9169,71.51,21,89,14.65
230,Ossora,RU,59.2353,163.0719,24.51,93,49,11.05
231,Berlevåg,NO,70.8578,29.0864,21.2,93,90,27.63
232,Arrondissement de Mende,FR,44.6667,3.5,29.68,100,100,3.74
233,Harper,LR,4.375,-7.7169,78.67,90,39,5.08
234,Abhā,SA,18.2164,42.5053,50.0,57,40,4.61
235,Beringovskiy,RU,63.05,179.3167,5.65,94,100,17.09
236,Saint George,US,37.1041,-113.5841,52.0,29,1,3.44
237,Lakes Entrance,AU,-37.8811,147.981,73.99,47,85,3.0
238,Tadine,NC,-21.55,167.8833,81.01,72,100,3.24
239,Codrington,AU,-38.2667,141.9667,63.25,62,100,16.91
240,Kununurra,AU,-15.7667,128.7333,93.2,62,92,9.22
241,Kavaratti,IN,10.5669,72.642,81.84,65,98,9.13
242,Thabazimbi,ZA,-24.5917,27.4116,64.99,97,83,3.02
243,Baghdad,IQ,33.3406,44.4009,48.2,93,0,2.3
244,Province of Mantua,IT,45.1667,10.7833,45.0,96,24,1.99
245,Puerto Ayora,EC,-0.7393,-90.3518,77.0,95,79,1.01
246,Peleduy,RU,59.6289,112.7406,19.87,95,100,9.66
247,Koshurnikovo,RU,54.1667,93.3,21.99,99,100,1.63
248,Lebu,CL,-37.6167,-73.65,58.3,93,95,3.56
249,Koslan,RU,63.4564,48.8989,-22.14,85,100,9.13
250,Great Falls,US,47.5002,-111.3008,-15.0,83,1,4.61
251,Tokur,RU,53.1333,132.9,-6.48,89,100,2.66
252,Maykor,RU,59.0059,55.88,-17.16,87,100,8.75
253,Potam,MX,27.6,-110.3833,58.69,43,0,0.27
254,Vadsø,NO,70.0744,29.7487,21.2,79,90,16.11
255,Baldwin,US,30.7505,-87.7667,42.01,90,0,3.89
256,Wembley,AU,-31.9333,115.8,75.0,83,40,16.11
257,Cruz Alta,BR,-28.6386,-53.6064,66.2,88,0,6.91
258,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,24.8,80,75,8.95
259,Arman',RU,59.7,150.1667,12.97,84,100,16.98
260,Ayan,RU,56.45,138.1667,-2.29,81,100,20.94
261,Morón,AR,-34.6534,-58.6198,75.0,74,3,5.99
262,Torbay,CA,47.6666,-52.7314,30.0,74,90,16.11
263,Lüderitz,NA,-26.6481,15.1594,67.35,48,0,24.47
264,Yatou,CN,37.15,122.3833,34.48,74,0,14.94
265,Port Augusta,AU,-32.5,137.7667,87.01,38,0,11.5
266,Barāgaon,IN,25.4333,82.8167,59.0,67,0,3.44
267,Noumea,NC,-22.2763,166.4572,84.99,70,90,8.05
268,Flinders,AU,-34.5833,150.8552,73.0,72,78,4.0
269,Pevek,RU,69.7008,170.3133,-7.31,81,0,0.85
270,Jalu,LY,29.0331,21.5482,67.19,24,100,18.66
271,Myitkyina,MM,25.3833,97.4,76.78,31,37,1.16
272,Bonavista,CA,48.6499,-53.1147,28.99,74,55,3.44
273,Alta,NO,69.9689,23.2717,26.01,74,90,19.57
274,Sisimiut,GL,66.9395,-53.6735,23.76,78,2,19.1
275,Chopan,IN,24.5167,83.0333,66.79,33,0,3.76
276,Leesburg,US,39.1157,-77.5636,28.4,43,1,9.98
277,Sanica,BA,44.6142,16.6411,50.0,81,20,4.61
278,Andenes,NO,69.3143,16.1194,30.2,86,100,11.5
279,Aiquile,BO,-18.2041,-65.1807,59.43,88,100,3.09
280,Mount Isa,AU,-20.7333,139.5,91.4,52,75,10.36
281,Naze,JP,28.3667,129.4833,69.8,52,75,16.11
282,Yar-Sale,RU,66.8333,70.8333,-9.94,90,100,18.45
283,Bilma,NE,18.6853,12.9164,58.84,29,100,3.58
284,High Level,CA,58.5169,-117.136,-20.2,69,1,12.66
285,Pacific Grove,US,36.6177,-121.9166,51.01,87,1,6.91
286,Lompoc,US,34.6391,-120.4579,53.6,87,90,6.91
287,Nhulunbuy,AU,-12.2333,136.7667,87.8,66,40,11.5
288,Orica,HN,14.7,-86.95,66.13,74,19,2.75
289,Bereda,ES,43.2686,-7.5406,46.99,100,78,5.01
290,Dzierżoniów,PL,50.7282,16.6514,12.0,69,100,5.01
291,Kintampo,GH,8.0563,-1.7306,75.88,76,11,4.47
292,Shache,CN,38.4167,77.2406,38.52,62,45,3.0
293,Genhe,CN,50.7833,121.5167,-2.69,85,59,4.34
294,Kruisfontein,ZA,-34.0033,24.7314,62.01,87,74,1.01
295,Rodolfo Sánchez Taboada,MX,31.7167,-116.5667,57.33,71,0,1.23
296,Marzuq,YE,14.4,46.4667,58.5,45,0,3.33
297,Listvyanka,RU,51.8535,104.8693,12.2,67,0,2.59
298,Beloha,MG,-25.1667,45.05,78.49,84,19,4.54
299,Kutum,SD,14.2,24.6667,49.77,44,0,9.86
300,Hopelchén,MX,19.7667,-89.85,69.66,93,13,2.42
301,Candolim,IN,15.5181,73.7626,77.0,44,45,12.66
302,Upington,ZA,-28.4478,21.2561,64.4,55,0,3.44
303,Bandarbeyla,SO,9.4942,50.8122,76.41,73,91,19.75
304,Iisalmi,FI,63.5592,27.1907,15.8,86,75,9.22
305,Christchurch,NZ,-43.5333,172.6333,78.8,41,62,11.5
306,Leshukonskoye,RU,64.8989,45.7622,-23.48,86,64,6.85
307,Punta Alta,AR,-38.8759,-62.0736,59.58,73,19,14.56
308,Fairbanks,US,64.8378,-147.7164,-16.6,68,1,4.68
309,Zaozyornoye,UA,45.1582,33.2787,43.0,82,100,1.01
310,Suntar,RU,62.1444,117.6319,3.25,93,99,5.95
311,Nirasaki,JP,35.7,138.45,55.99,29,6,10.0
312,Namatanai,PG,-3.6667,152.4333,84.45,73,53,6.87
313,Santa Cruz de La Palma,ES,28.6835,-17.7642,62.6,77,90,8.77
314,Alferrarede,PT,39.4833,-8.1667,50.0,93,24,1.99
315,Troitskoye,RU,52.9821,84.6757,22.75,96,78,9.48
316,San Cristobal,VE,7.7669,-72.225,67.59,85,100,1.12
317,Tay Ninh,VN,11.3,106.1,88.59,49,2,3.71
318,Sai Buri,TH,6.7013,101.6168,87.8,66,40,8.05
319,Karatau,KZ,43.1667,70.4667,47.5,76,94,15.95
320,Djougou,BJ,9.7085,1.666,75.2,29,5,6.91
321,Coquimbo,CL,-29.9533,-71.3436,59.0,82,0,3.44
322,Tashtyp,RU,52.7939,89.8983,29.12,93,9,1.77
323,Talnakh,RU,69.4865,88.3972,-12.55,78,75,4.36
324,Bata,GQ,1.8639,9.7658,78.8,94,40,6.96
325,Touros,BR,-5.1989,-35.4608,78.8,83,20,6.91
326,Hatillo,PR,18.4863,-66.8254,71.01,87,7,8.97
327,São João da Barra,BR,-21.6403,-41.0511,69.67,93,100,4.88
328,Mackay,AU,-21.15,149.2,95.0,59,39,13.8
329,Panabá,MX,21.2833,-88.2667,71.8,96,46,5.14
330,Dunmore East,IE,52.1514,-6.9861,37.0,69,100,11.01
331,Pasir Gudang,MY,1.4584,103.8805,87.8,58,75,11.5
332,Niquelândia,BR,-14.4739,-48.4597,65.35,95,96,1.5
333,Havre-St-Pierre,CA,50.2334,-63.5986,14.0,85,75,6.91
334,Salinópolis,BR,-0.6136,-47.3561,78.37,87,19,9.55
335,Rocha,UY,-34.4833,-54.3333,61.29,92,51,2.24
336,Mehamn,NO,71.0357,27.8492,21.2,93,90,27.63
337,Tura,IN,25.5198,90.2201,75.09,28,0,4.14
338,Kuvandyk,RU,51.4781,57.3552,-11.13,88,100,15.5
339,Altamont,US,42.2068,-121.7372,37.0,43,1,4.61
340,Avera,US,33.194,-82.5271,35.6,82,1,5.75
341,Rocky Mountain House,CA,52.3668,-114.9188,-31.0,75,100,1.14
342,Juegang,CN,32.3174,121.1855,46.0,57,88,1.99
343,Kempsey,AU,-31.0833,152.8333,78.01,67,67,5.01
344,Lithakia,GR,37.7167,20.8333,62.6,55,75,11.5
345,Kipini,KE,-2.5257,40.5262,76.82,84,100,9.93
346,Jining,CN,35.405,116.5814,45.18,43,19,6.2
347,Sayyan,YE,15.1718,44.3244,42.94,69,31,6.33
348,Ninohe,JP,40.2724,141.3061,26.01,86,79,18.32
349,Laas,IT,46.6166,10.7002,35.01,80,90,6.91
350,Nioro,GM,13.35,-15.75,67.66,23,40,8.01
351,Raudeberg,NO,61.9875,5.1352,23.0,58,0,6.17
352,Nuuk,GL,64.1835,-51.7216,30.2,40,20,17.27
353,Paamiut,GL,61.994,-49.6678,27.59,81,73,15.46
354,Katangli,RU,51.7102,143.2326,7.2,94,100,23.06
355,Caesarea,IL,32.5189,34.9046,52.0,87,0,4.61
356,Gulfport,US,30.3674,-89.0928,46.4,76,1,4.61
357,Salta,AR,-24.7859,-65.4117,71.6,68,90,3.44
358,Saryg-Sep,RU,51.5,95.6,15.64,92,100,2.19
359,Lucapa,AO,-8.4192,20.7447,64.56,98,100,3.13
360,Atuona,PF,-9.8,-139.0333,79.34,76,16,19.46
361,San Jerónimo,PE,-11.9472,-75.2829,47.93,76,100,1.12
362,Los Llanos de Aridane,ES,28.6585,-17.9182,62.6,77,90,8.57
363,Banjar,ID,-8.19,114.9675,86.0,74,20,5.75
364,Olinda,BR,-8.0089,-34.8553,78.8,69,40,5.75
365,Bambanglipuro,ID,-7.95,110.2833,85.19,69,92,5.61
366,Coahuayana Viejo,MX,18.7333,-103.6833,73.26,77,44,1.41
367,Geraldton,AU,-28.7667,114.6,77.0,61,75,14.97
368,Kuril'sk,RU,45.2333,147.8833,16.23,92,100,19.86
369,Eenhana,NA,-17.4667,16.3333,77.0,78,100,2.3
370,Santa Isabel,BR,-23.3156,-46.2214,66.2,82,75,6.91
371,Santa Maria,BR,-29.6842,-53.8069,71.6,88,0,9.22
372,Nome,US,64.5011,-165.4064,-4.0,71,1,4.41
373,Atalaia,BR,-9.5019,-36.0228,73.4,94,0,3.44
374,Lashio,MM,22.9333,97.75,72.07,55,49,1.68
375,Isangel,VU,-19.55,169.2667,86.0,74,40,6.91
376,Oyëk,RU,52.5861,104.4556,12.2,67,0,4.27
377,Mindif,CM,10.3976,14.4363,65.17,25,99,8.75
378,Arrondissement de Clermont,FR,49.5,2.4167,28.4,93,90,5.75
379,Newport,GB,51.5877,-2.9984,35.01,76,100,1.01
380,Shaowu,CN,27.3409,117.4831,59.07,77,97,4.79
381,Havelock,US,34.8791,-76.9013,34.0,100,1,5.19
382,Poum,NC,-20.2333,164.0167,81.3,71,2,9.8
383,Tyul'gan,RU,52.3405,56.166,-13.7,90,100,13.65
384,Kirakira,SB,-10.4544,161.9205,84.65,73,15,8.7
385,Yumen,CN,40.2833,97.2,34.07,68,100,9.26
386,Kosino,RU,58.4127,51.2782,-23.21,84,100,10.63
387,Ipixuna,BR,-1.7625,-48.8043,77.0,83,0,3.44
388,Jiancheng,CN,30.391,104.5491,57.99,60,51,1.01
389,Pontianak,ID,-0.0333,109.3333,87.8,66,75,4.61
390,Graham,US,47.0529,-122.2943,39.99,87,90,8.05
391,Port Blair,IN,11.6667,92.75,83.05,65,11,12.19
392,Seoul,KR,37.5683,126.9778,32.0,27,0,17.27
393,Bantou,CN,26.2151,117.4893,76.93,46,38,4.36
394,Dongsheng,CN,39.8161,109.9776,30.04,68,99,6.29
395,Flin Flon,CA,54.7682,-101.865,-30.06,81,42,11.1
396,Andalan,PH,5.9594,121.3903,81.59,79,100,8.66
397,Fairlie,GB,55.756,-4.8556,33.01,74,29,3.0
398,Agboville,CI,5.928,-4.2132,75.69,95,93,1.9
399,My Tho,VN,10.35,106.35,82.4,78,40,5.75
400,Tabou,CI,4.423,-7.3528,78.19,90,9,5.93
401,Ginir,ET,7.1333,40.7,58.5,67,95,1.25
402,Ancud,CL,-41.8697,-73.8203,60.01,88,0,5.75
403,Ushtobe,KZ,45.2514,77.9838,37.83,79,100,5.28
404,Zhigansk,RU,66.7697,123.3711,-24.41,81,0,7.27
405,Adra,ES,36.7496,-3.0206,55.99,67,20,24.16
406,Senneterre,CA,48.3835,-77.2328,-4.0,92,90,4.61
407,Kasulu,TZ,-4.5767,30.1025,71.6,94,75,3.96
408,Naushahro Firoz,PK,26.8424,68.123,70.47,21,0,1.14
409,Sivaki,RU,52.6333,126.75,-2.51,89,0,10.6
